index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
234,326,2,1,1,2,4,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4
235,109,2,2,1,2,4,3,3,4,2,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4
236,171,2,1,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
237,61,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
238,76,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
239,147,2,2,1,2,4,3,3,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,3,3
240,106,2,2,1,2,4,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4
241,87,2,2,1,1,4,4,5,5,4,5,5,5,4,5,5,2,4,4,3,4,4,4,4,4
242,109,2,1,1,2,4,3,3,4,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4
243,193,2,2,1,2,3,4,4,4,3,4,4,4,3,3,3,2,4,4,3,3,3,4,3,3
244,356,2,2,1,1,4,4,4,2,3,4,5,4,5,4,5,5,5,5,2,5,5,4,4,3
245,137,2,2,1,2,3,4,4,3,3,3,3,5,4,2,4,4,5,5,3,3,5,5,5,3
246,150,2,2,1,1,2,3,3,4,3,3,4,3,5,4,3,3,4,3,3,4,4,3,4,4
247,62,2,2,1,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
248,300,2,2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
249,50,2,1,1,2,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5
250,52,2,2,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
251,59,1,2,1,2,4,4,5,5,5,5,5,5,5,5,5,5,4,3,2,4,4,4,5,5
252,73,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
253,64,2,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
254,83,2,2,1,1,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
255,81,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
